Feature 	 Val_totalreads 	 Coq_totalreads
PiuraChilensis_v1_contig_10432 	 5 	 5
PiuraChilensis_v1_contig_10433 	 5 	 3
PiuraChilensis_v1_contig_10434 	 9 	 3
PiuraChilensis_v1_contig_10435 	 2 	 0
PiuraChilensis_v1_contig_10436 	 5 	 3
PiuraChilensis_v1_contig_10437 	 0 	 7
PiuraChilensis_v1_contig_10438 	 0 	 6
PiuraChilensis_v1_contig_10439 	 1 	 5
PiuraChilensis_v1_contig_1044 	 4 	 4
PiuraChilensis_v1_contig_10440 	 0 	 6
PiuraChilensis_v1_contig_10441 	 13 	 10
PiuraChilensis_v1_contig_10442 	 14 	 20
PiuraChilensis_v1_contig_10443 	 10 	 8
PiuraChilensis_v1_contig_10444 	 3 	 12
PiuraChilensis_v1_contig_10445 	 10 	 6
PiuraChilensis_v1_contig_10446 	 3 	 5
PiuraChilensis_v1_contig_10447 	 0 	 4
PiuraChilensis_v1_contig_10448 	 17 	 6
PiuraChilensis_v1_contig_10449 	 0 	 5
PiuraChilensis_v1_contig_1045 	 6 	 2
PiuraChilensis_v1_contig_10450 	 20 	 15
PiuraChilensis_v1_contig_10451 	 10 	 11
PiuraChilensis_v1_contig_10452 	 1 	 8
PiuraChilensis_v1_contig_10453 	 5 	 4
PiuraChilensis_v1_contig_10454 	 1 	 9
PiuraChilensis_v1_contig_10455 	 24 	 16
PiuraChilensis_v1_contig_10456 	 2 	 2
PiuraChilensis_v1_contig_10457 	 4 	 5
PiuraChilensis_v1_contig_10458 	 1 	 3
PiuraChilensis_v1_contig_10459 	 6 	 7
PiuraChilensis_v1_contig_1046 	 25 	 14
PiuraChilensis_v1_contig_10460 	 3 	 8
PiuraChilensis_v1_contig_10461 	 3 	 1
PiuraChilensis_v1_contig_10462 	 3 	 2
PiuraChilensis_v1_contig_10463 	 9 	 36
PiuraChilensis_v1_contig_10464 	 27 	 24
PiuraChilensis_v1_contig_10465 	 0 	 5
PiuraChilensis_v1_contig_10466 	 2 	 4
PiuraChilensis_v1_contig_10467 	 7 	 8
PiuraChilensis_v1_contig_10468 	 26 	 15
PiuraChilensis_v1_contig_10469 	 3 	 4
PiuraChilensis_v1_contig_1047 	 16 	 14
PiuraChilensis_v1_contig_10470 	 5 	 14
PiuraChilensis_v1_contig_10471 	 0 	 2
PiuraChilensis_v1_contig_10472 	 13 	 5
PiuraChilensis_v1_contig_10473 	 10 	 5
PiuraChilensis_v1_contig_10474 	 10 	 13
PiuraChilensis_v1_contig_10475 	 13 	 7
PiuraChilensis_v1_contig_10476 	 4 	 4
